Experiment_ID,Shift,Num_Operations,Initial_Makespan,Final_Makespan,Improvement,Improvement_Percent,Solve_Time_Seconds
12,1,150,2274,1535,739,32.49780123131046,526.75
12,2,168,2208,1584,624,28.26086956521739,769.55
12,3,232,3362,2402,960,28.55443188578227,1978.36
12,4,338,4139,2790,1349,32.592413626479825,6509.92
12,5,261,3155,1871,1284,40.6973058637084,2857.75
12,6,156,2210,1351,859,38.86877828054299,602.89
12,7,200,2717,1899,818,30.10673536989327,1291.49
12,8,289,3867,2495,1372,35.47970002585984,3748.64
12,9,209,2321,1555,766,33.00301594140457,1398.65
12,10,185,3057,1736,1321,43.2122996401701,993.56
12,11,185,2681,1786,895,33.38306602014174,971.98
12,12,206,2755,1784,971,35.24500907441016,1349.13
12,13,176,2658,1394,1264,47.55455229495861,843.54
12,14,181,2839,1933,906,31.91264529764001,950.44
12,15,229,3213,1960,1253,38.99782135076253,1872.63
12,16,164,2172,1390,782,36.003683241252304,682.65
12,17,170,2755,1722,1033,37.49546279491833,767.39
12,18,184,2487,1825,662,26.618415761962204,979.79
12,19,116,1747,1053,694,39.72524327418432,244.28
12,20,150,2752,1573,1179,42.84156976744186,530.85
