Experiment_ID,Shift,Num_Operations,Initial_Lateness_Deviation,Final_Lateness_Deviation,Improvement,Improvement_Percent,Solve_Time_Seconds,Memory_MB,Memory_Used_MB
20,1,150,5159.5,2298.5,2861.0,55.45,181.95,158.55,63.42
20,2,185,44780.0,5942.0,38838.0,86.73,382.39,208.12,49.58
20,3,242,76873.5,4867.5,72006.0,93.67,835.13,319.8,111.67
20,4,342,217713.5,17808.5,199905.0,91.82,2440.56,437.55,117.75
20,5,262,348101.0,59016.5,289084.5,83.05,1125.29,428.69,-8.86
20,6,154,199509.5,91123.5,108386.0,54.33,223.04,424.75,-3.94
20,7,200,91881.5,41296.0,50585.5,55.06,426.46,422.79,-1.96
20,8,300,329387.0,93261.0,236126.0,71.69,1622.66,429.46,6.68
20,9,212,499876.0,254389.5,245486.5,49.11,600.19,427.71,-1.75
20,10,189,183277.0,120624.5,62652.5,34.18,400.61,425.74,-1.97
20,11,191,295252.5,154379.0,140873.5,47.71,413.94,425.74,0.0
20,12,200,272242.0,148573.5,123668.5,45.43,471.56,425.74,0.0
20,13,186,369221.5,229519.5,139702.0,37.84,390.33,425.74,0.0
20,14,179,220099.0,156207.0,63892.0,29.03,341.16,425.74,0.0
20,15,224,340946.5,215869.0,125077.5,36.69,659.42,425.74,0.0
20,16,171,427904.5,273837.5,154067.0,36.0,309.91,425.74,0.0
20,17,171,214870.5,173922.0,40948.5,19.06,287.77,425.74,0.0
20,18,182,359799.5,252123.0,107676.5,29.93,357.87,425.74,0.0
20,19,121,310181.5,250191.0,59990.5,19.34,108.42,425.74,0.0
20,20,150,211030.5,184831.5,26199.0,12.41,182.82,425.74,0.0
